Longitude,Latitude,Node Type,Population,Zip,Province
-117.7928,36.01943333333333,PV,0,93527.0,Inyo
-119.123284,37.766954,PV,0,93529.0,Mono
-118.24346466666667,34.68435788888889,PV,0,93534.0,Los Angeles
-118.12050993333334,34.70118386666666,PV,0,93535.0,Los Angeles
-118.30673374999999,34.7203485,PV,0,93536.0,Los Angeles
-119.1940575,37.993483,PV,0,93541.0,Mono
-117.810636,36.006945,PV,0,93542.0,Inyo
-118.04389,36.443421,PV,0,93545.0,Inyo
-118.9122235,37.64576325,PV,0,93546.0,Mono
-118.0021178,36.336082,PV,0,93549.0,Inyo
-118.13008985714285,34.586000999999996,PV,0,93550.0,Los Angeles
-118.163056,34.643889,PV,0,93551.0,Los Angeles
-118.05472200000001,34.65111133333334,PV,0,93552.0,Los Angeles
-118.3047595,34.663844499999996,PV,0,93553.0,Los Angeles
-117.68137,35.68771,PV,0,93555.0,Kern
-118.39077719354839,34.843187,PV,0,93560.0,Kern
-118.36975314285714,35.10823528571429,PV,0,93561.0,Kern
-117.38945000000001,35.73625,PV,0,93562.0,San Bernardino
-118.378061,35.068278,PV,0,93581.0,Kern
-117.89694716666666,34.60065183333334,PV,0,93591.0,Los Angeles
-117.350572,35.804953,PV,0,93592.0,Inyo
-117.571611,34.987952,PV,0,93596.0,San Bernardino
-119.49915233333333,37.104283,PV,0,93602.0,Fresno
-119.22461639999999,36.984353,PV,0,93605.0,Tulare
-120.35923499999998,36.5340192,PV,0,93608.0,Fresno
-120.22527066666667,37.091128833333336,PV,0,93610.0,Madera
-119.661258,36.808385,PV,0,93611.0,Fresno
-119.47174225,36.52412425,PV,0,93616.0,Tulare
-119.426388,36.538056,PV,0,93618.0,Tulare
-120.63807100000001,37.03121166666667,PV,0,93620.0,Merced
-120.528524125,36.73262675,PV,0,93622.0,Madera
-120.136479,36.379332,PV,0,93624.0,Fresno
-119.673088,36.624512,PV,0,93625.0,Fresno
-119.703451,36.997694,PV,0,93626.0,Fresno
-120.10424379999999,36.6114306,PV,0,93627.0,Madera
-119.55983900000001,36.522489,PV,0,93631.0,Tulare
-119.158936,37.257045,PV,0,93634.0,Fresno
-120.95652575,36.993138,PV,0,93635.0,Merced
-120.03839325,36.9721785,PV,0,93637.0,Madera
-120.04182233333334,36.964716333333335,PV,0,93638.0,Madera
-120.40136522222221,36.717403555555556,PV,0,93640.0,Fresno
-119.47393616666666,37.19980566666666,PV,0,93643.0,Madera
-119.136259,36.8932468,PV,0,93649.0,Fresno
-119.4385748,36.595962,PV,0,93654.0,Fresno
-120.022439,36.29169,PV,0,93656.0,Fresno
-119.497028,36.7243455,PV,0,93657.0,Fresno
-120.102495,36.616934,PV,0,93660.0,Fresno
-120.5833,36.6514,PV,0,93662.0,Fresno
-119.112476,37.088615000000004,PV,0,93664.0,Fresno
-120.2683865,36.632763,PV,0,93668.0,Fresno
-119.810408,36.818646,PV,0,93704.0,Fresno
-119.84125,36.687305499999994,PV,0,93706.0,Fresno
-119.770709,36.817816,PV,0,93710.0,Fresno
-119.745091,36.870092666666665,PV,0,93720.0,Fresno
-120.0683735,36.660515000000004,PV,0,93721.0,Fresno
-119.7299006,36.6840196,PV,0,93725.0,Fresno
-120.7461545,36.770245,PV,0,93727.0,Fresno
-119.741665,36.809841,PV,0,93740.0,Fresno
-119.79858,36.76655,PV,0,93741.0,Fresno
-121.38462,36.46767,PV,0,93860.0,Monterey
-121.62376766666667,36.65604666666667,PV,0,93901.0,Monterey
-121.636,36.616,PV,0,93908.0,Monterey
-121.43809266666666,36.514389,PV,0,93926.0,Monterey
-121.191589,36.274508,PV,0,93927.0,Monterey
-121.09303933333332,36.210432000000004,PV,0,93930.0,Monterey
-121.77592600000001,36.713270333333334,PV,0,93933.0,Monterey
-121.37189225,36.46619125,PV,0,93960.0,Monterey
